,edge_id
WayPoint75_WayPoint68,615
WayPoint70_WayPoint71,459
WayPoint82_WayPoint75,456
WayPoint68_WayPoint61,446
WayPoint61_WayPoint54,429
WayPoint53_WayPoint46,425
WayPoint60_WayPoint67,397
WayPoint53_WayPoint60,396
WayPoint46_WayPoint53,396
WayPoint68_WayPoint69,387
WayPoint71_WayPoint70,378
WayPoint54_WayPoint47,362
WayPoint69_WayPoint70,359
WayPoint71_WayPoint72,352
WayPoint67_WayPoint60,352
WayPoint74_WayPoint67,341
WayPoint60_WayPoint53,338
WayPoint68_WayPoint75,330
WayPoint67_WayPoint74,317
WayPoint72_WayPoint71,311
WayPoint69_WayPoint68,285
WayPoint89_WayPoint82,282
WayPoint70_WayPoint69,275
WayPoint47_WayPoint40,264
WayPoint75_WayPoint82,256
WayPoint46_WayPoint39,249
WayPoint39_WayPoint46,246
WayPoint40_WayPoint33,228
WayPoint95_WayPoint102,203
WayPoint81_WayPoint74,199
WayPoint102_WayPoint109,195
WayPoint102_WayPoint95,194
WayPoint54_WayPoint61,194
WayPoint33_WayPoint26,192
WayPoint88_WayPoint81,190
WayPoint61_WayPoint68,186
WayPoint74_WayPoint81,186
WayPoint47_WayPoint54,179
WayPoint39_WayPoint32,178
WayPoint109_WayPoint102,176
WayPoint82_WayPoint89,175
WayPoint72_WayPoint73,174
WayPoint40_WayPoint47,172
WayPoint81_WayPoint88,170
WayPoint32_WayPoint39,165
WayPoint96_WayPoint89,164
WayPoint26_WayPoint19,162
WayPoint95_WayPoint88,161
WayPoint73_WayPoint72,160
WayPoint88_WayPoint95,158
WayPoint108_WayPoint109,157
WayPoint33_WayPoint40,157
WayPoint26_WayPoint33,142
WayPoint109_WayPoint108,137
WayPoint19_WayPoint26,119
WayPoint19_WayPoint13,119
WayPoint47_WayPoint48,114
WayPoint110_WayPoint68,111
WayPoint89_WayPoint96,110
WayPoint25_WayPoint32,109
WayPoint112_WayPoint82,108
WayPoint48_WayPoint49,108
WayPoint32_WayPoint25,106
WayPoint49_WayPoint50,105
WayPoint111_WayPoint75,105
WayPoint52_WayPoint53,104
WayPoint51_WayPoint52,104
WayPoint24_WayPoint25,103
WayPoint114_WayPoint96,100
WayPoint50_WayPoint51,99
WayPoint25_WayPoint24,98
WayPoint113_WayPoint89,97
WayPoint13_WayPoint19,89
WayPoint107_WayPoint108,85
WayPoint89_WayPoint90,84
WayPoint108_WayPoint107,83
WayPoint13_WayPoint7,81
WayPoint24_WayPoint18,80
WayPoint90_WayPoint91,75
WayPoint96_WayPoint97,73
WayPoint18_WayPoint24,73
WayPoint91_WayPoint92,70
WayPoint54_WayPoint55,62
WayPoint97_WayPoint98,60
WayPoint7_WayPoint13,60
WayPoint94_WayPoint95,58
WayPoint92_WayPoint93,56
WayPoint99_WayPoint100,56
WayPoint12_WayPoint18,53
WayPoint98_WayPoint99,53
WayPoint95_WayPoint94,52
WayPoint18_WayPoint12,51
WayPoint55_WayPoint56,49
WayPoint58_WayPoint59,48
WayPoint101_WayPoint102,47
WayPoint57_WayPoint58,46
WayPoint56_WayPoint57,46
WayPoint100_WayPoint101,44
WayPoint96_WayPoint103,43
WayPoint53_WayPoint52,42
WayPoint82_WayPoint83,40
WayPoint93_WayPoint94,39
WayPoint48_WayPoint47,38
WayPoint52_WayPoint51,37
WayPoint75_WayPoint76,37
WayPoint49_WayPoint48,33
WayPoint7_WayPoint1,33
WayPoint83_WayPoint84,33
WayPoint38_WayPoint39,32
WayPoint40_WayPoint41,31
WayPoint13_WayPoint14,31
WayPoint103_WayPoint104,30
WayPoint97_WayPoint96,30
WayPoint1_WayPoint2,30
WayPoint33_WayPoint34,30
WayPoint102_WayPoint101,29
WayPoint61_WayPoint62,29
WayPoint90_WayPoint89,28
WayPoint19_WayPoint20,28
WayPoint6_WayPoint12,28
WayPoint80_WayPoint81,27
WayPoint59_WayPoint60,27
WayPoint7_WayPoint8,27
WayPoint103_WayPoint96,27
WayPoint50_WayPoint49,26
WayPoint87_WayPoint88,26
WayPoint51_WayPoint50,26
WayPoint12_WayPoint6,26
WayPoint81_WayPoint80,26
WayPoint1_WayPoint7,26
WayPoint73_WayPoint74,25
WayPoint88_WayPoint87,25
WayPoint55_WayPoint54,25
WayPoint14_WayPoint15,24
WayPoint84_WayPoint85,24
WayPoint85_WayPoint86,24
WayPoint14_WayPoint13,23
WayPoint76_WayPoint77,23
WayPoint67_WayPoint66,23
WayPoint91_WayPoint90,23
WayPoint66_WayPoint67,23
WayPoint76_WayPoint75,23
WayPoint74_WayPoint73,23
WayPoint2_WayPoint3,22
WayPoint41_WayPoint42,22
WayPoint39_WayPoint38,22
WayPoint59_WayPoint58,22
WayPoint34_WayPoint35,22
WayPoint8_WayPoint7,21
WayPoint60_WayPoint59,21
WayPoint104_WayPoint105,21
WayPoint101_WayPoint100,21
WayPoint34_WayPoint33,21
WayPoint105_WayPoint106,21
WayPoint98_WayPoint97,21
WayPoint41_WayPoint40,21
WayPoint27_WayPoint26,20
WayPoint26_WayPoint27,20
WayPoint94_WayPoint93,20
WayPoint77_WayPoint78,20
WayPoint45_WayPoint46,20
WayPoint32_WayPoint31,20
WayPoint92_WayPoint91,19
WayPoint20_WayPoint21,19
WayPoint15_WayPoint14,19
WayPoint62_WayPoint63,19
WayPoint62_WayPoint61,19
WayPoint6_WayPoint5,19
WayPoint35_WayPoint36,18
WayPoint87_WayPoint86,18
WayPoint58_WayPoint57,18
WayPoint31_WayPoint32,18
WayPoint93_WayPoint92,18
WayPoint104_WayPoint103,18
WayPoint5_WayPoint6,18
WayPoint37_WayPoint38,18
WayPoint65_WayPoint66,18
WayPoint78_WayPoint79,18
WayPoint28_WayPoint27,17
WayPoint79_WayPoint80,17
WayPoint20_WayPoint19,17
WayPoint31_WayPoint30,17
WayPoint42_WayPoint43,17
WayPoint23_WayPoint24,16
WayPoint77_WayPoint76,16
WayPoint86_WayPoint87,16
WayPoint83_WayPoint82,16
WayPoint80_WayPoint79,16
WayPoint2_WayPoint1,16
WayPoint30_WayPoint29,15
WayPoint8_WayPoint9,15
WayPoint46_WayPoint45,15
WayPoint18_WayPoint17,15
WayPoint15_WayPoint16,15
WayPoint63_WayPoint64,15
WayPoint11_WayPoint12,15
WayPoint78_WayPoint77,15
WayPoint56_WayPoint55,14
WayPoint21_WayPoint22,14
WayPoint3_WayPoint4,14
WayPoint43_WayPoint44,14
WayPoint44_WayPoint45,14
WayPoint99_WayPoint98,14
WayPoint16_WayPoint17,14
WayPoint66_WayPoint65,14
WayPoint12_WayPoint11,14
WayPoint100_WayPoint99,14
WayPoint79_WayPoint78,14
WayPoint57_WayPoint56,14
WayPoint5_WayPoint4,13
WayPoint38_WayPoint37,13
WayPoint42_WayPoint41,13
WayPoint4_WayPoint5,13
WayPoint64_WayPoint65,13
WayPoint106_WayPoint107,13
WayPoint22_WayPoint23,13
WayPoint86_WayPoint85,13
WayPoint105_WayPoint104,13
WayPoint24_WayPoint23,13
WayPoint27_WayPoint28,13
WayPoint106_WayPoint105,12
WayPoint43_WayPoint42,12
WayPoint23_WayPoint22,12
WayPoint30_WayPoint31,12
