,edge_id
WayPoint4_WayPoint3,12
WayPoint17_WayPoint18,12
WayPoint35_WayPoint34,12
WayPoint9_WayPoint8,11
WayPoint64_WayPoint63,11
WayPoint36_WayPoint37,11
WayPoint84_WayPoint83,10
WayPoint85_WayPoint84,10
WayPoint21_WayPoint20,10
WayPoint22_WayPoint21,10
WayPoint63_WayPoint62,10
WayPoint3_WayPoint2,9
WayPoint28_WayPoint29,9
WayPoint65_WayPoint64,9
WayPoint29_WayPoint30,9
WayPoint107_WayPoint106,9
WayPoint29_WayPoint28,8
WayPoint36_WayPoint35,8
WayPoint11_WayPoint10,8
WayPoint44_WayPoint43,8
WayPoint10_WayPoint11,8
WayPoint45_WayPoint44,7
WayPoint37_WayPoint36,7
WayPoint16_WayPoint15,7
WayPoint9_WayPoint10,7
WayPoint10_WayPoint9,6
WayPoint17_WayPoint16,5
