,edge_id
HospMeetingPod3_HospMeetingPod2,29
ChargingPoint_Station,29
SuppLocker14_SuppLocker13,29
HospTriangularTable4_GlassCorridor1,29
NewArea7_Quasi3,28
SuppLocker1_SuppLocker13,25
KitchenPod1_NewNode0,25
HospMeetingPod2_HospMeetingPod3,25
SuppLocker6_SuppActRec1,25
KitchenTableHigh_KitchenTableLow,24
HospMeetingPod2_HospActRec2,24
CorpMeetingPod1_CorpLocker5,23
SuppActRec1_SuppLocker6,22
SuppLocker13_SuppLocker2,22
CorpLocker8_Quasi1,21
HospTriangularTable3_GlassCorridor1,21
KitchenTableLow_KitchenTableHigh,21
SuppLocker4_SuppLocker3,20
CorpLocker6_CorpActRec2,20
CorpLocker7_Quasi1,19
CorpActRec2_CorpLocker6,19
HospTriangularTable4_HospTriangularTable3,19
CorpLocker5_CorpMeetingPod1,19
KitchenActRec2_KitchenTableLow,19
KitchenCounter2_KitchenCounter3,19
SuppMeetingPod1_SuppLocker10,18
CorpActRec3_Quasi1,18
SuppLocker12_SuppLocker14,17
KitchenTableLow_KitchenActRec2,16
SuppLocker13_SuppLocker12,16
SmallKitchen_HospActRec1,15
LearningTable1_SuppLocker1,15
HospMeetingPod3_HospActRec3,15
SuppLocker4_SuppLocker5,15
SuppLocker11_SuppLocker10,14
HospMeetingPod3_HospActRec2,14
SuppLocker6_SuppLocker3,14
SuppLocker11_SuppMeetingPod1,14
ChargingPoint1_Station1,14
SuppLocker3_SuppActRec1,14
HospWorkplace_HospMeetingPod2,14
HospActRec2_HospMeetingPod2,13
NewNode0_LearningTable1,13
SuppActRec1_SuppPrintCopy,13
HospActRec1_HospPrintCopy,13
HospActRec1_SmallKitchen,13
SuppPrintCopy_SuppActRec1,13
HospPrintCopy_HospActRec1,13
SuppTransWP2_SuppMeetingPod2,12
SuppActRec1_SuppLocker3,11
SuppLocker8_SuppMeetingPod1,11
SuppMeetingPod2_SuppLocker8,11
HospActRec3_HospMeetingPod3,10
SuppTransWP1_SuppLocker10,10
HospTriangularTable2_HospMeetingPod1,10
SuppMeetingPod1_SuppLocker8,10
HospMeetingPod2_HospWorkplace,10
HospTriangularTable1_HospTriangularTable2,9
SuppMeetingPod1_SuppLocker11,8
KitchenCounter1_KitchenPod3,8
HospMeetingPod1_HospTriangularTable2,7
NewArea10_NewArea9,6
Quasi3_NewArea7,6
NewArea9_Quasi3,6
Quasi3_NewArea9,6
NewArea9_NewArea10,6
SuppLocker10_SuppTransWP1,5
SuppMeetingPod2_SuppTransWP2,5
NewArea1_KitchenActRec1,3
SuppLocker8_SuppMeetingPod2,3
KitchenActRec1_NewArea1,2
