,edge_id,samples,origin,target,ks statistic,ks p-value,reversible
0,WayPoint69_WayPoint70,448,WayPoint69,WayPoint70,0.18490837346174424,1.746631413623856e-05,False
1,WayPoint70_WayPoint71,443,WayPoint70,WayPoint71,0.09238533085932421,0.05552225673523192,True
2,WayPoint72_WayPoint71,388,WayPoint72,WayPoint71,0.20576887462189025,3.8224922183083265e-07,False
3,WayPoint71_WayPoint70,382,WayPoint71,WayPoint70,0.09238533085932421,0.05552225673523192,True
4,WayPoint68_WayPoint69,353,WayPoint68,WayPoint69,0.26024269586909643,1.4185043140102493e-09,False
5,WayPoint71_WayPoint72,334,WayPoint71,WayPoint72,0.20576887462189025,3.8224922183083265e-07,False
6,WayPoint73_WayPoint72,327,WayPoint73,WayPoint72,0.4094164973421177,5.651243506897389e-16,False
7,WayPoint75_WayPoint68,301,WayPoint75,WayPoint68,0.17103405315614617,0.003771410754223492,False
8,WayPoint69_WayPoint68,268,WayPoint69,WayPoint68,0.26024269586909643,1.4185043140102493e-09,False
9,WayPoint70_WayPoint69,267,WayPoint70,WayPoint69,0.18490837346174424,1.746631413623856e-05,False
10,WayPoint53_WayPoint46,263,WayPoint53,WayPoint46,0.06829788249518749,0.5708155409827644,True
11,WayPoint39_WayPoint46,244,WayPoint39,WayPoint46,0.1763646189875698,0.027751953365834914,False
12,WayPoint74_WayPoint67,240,WayPoint74,WayPoint67,0.32267495395948437,5.035100114625379e-10,False
13,WayPoint46_WayPoint53,239,WayPoint46,WayPoint53,0.06829788249518749,0.5708155409827644,True
14,WayPoint60_WayPoint67,236,WayPoint60,WayPoint67,0.1356397839448687,0.04044351758034992,False
15,WayPoint53_WayPoint60,232,WayPoint53,WayPoint60,0.15125038831935383,0.009604859489226514,False
16,WayPoint60_WayPoint53,222,WayPoint60,WayPoint53,0.15125038831935383,0.009604859489226514,False
17,WayPoint81_WayPoint74,192,WayPoint81,WayPoint74,0.38626126126126126,0.00011380928487514375,False
18,WayPoint82_WayPoint75,189,WayPoint82,WayPoint75,0.15192743764172337,0.08976242321932582,True
19,WayPoint67_WayPoint60,182,WayPoint67,WayPoint60,0.1356397839448687,0.04044351758034992,False
20,WayPoint67_WayPoint74,181,WayPoint67,WayPoint74,0.32267495395948437,5.035100114625379e-10,False
21,WayPoint102_WayPoint109,177,WayPoint102,WayPoint109,0.114177737059093,0.22118508069611165,True
22,WayPoint108_WayPoint109,172,WayPoint108,WayPoint109,0.17958656330749354,0.01558079217386521,False
23,WayPoint68_WayPoint75,160,WayPoint68,WayPoint75,0.17103405315614617,0.003771410754223492,False
24,WayPoint74_WayPoint73,152,WayPoint74,WayPoint73,,,False
25,WayPoint72_WayPoint73,149,WayPoint72,WayPoint73,0.4094164973421177,5.651243506897389e-16,False
26,WayPoint109_WayPoint102,148,WayPoint109,WayPoint102,0.114177737059093,0.22118508069611165,True
27,WayPoint95_WayPoint102,139,WayPoint95,WayPoint102,0.06699280575539568,0.90194077775183,True
28,WayPoint107_WayPoint108,137,WayPoint107,WayPoint108,0.4257907542579075,3.1950103673850094e-08,False
29,WayPoint110_WayPoint68,131,WayPoint110,WayPoint68,,,False
30,WayPoint112_WayPoint82,130,WayPoint112,WayPoint82,,,False
31,WayPoint111_WayPoint75,126,WayPoint111,WayPoint75,,,False
32,WayPoint109_WayPoint108,126,WayPoint109,WayPoint108,0.17958656330749354,0.01558079217386521,False
33,WayPoint102_WayPoint95,125,WayPoint102,WayPoint95,0.06699280575539568,0.90194077775183,True
34,WayPoint95_WayPoint88,116,WayPoint95,WayPoint88,0.17439231204070096,0.15222212209871722,True
35,WayPoint75_WayPoint82,98,WayPoint75,WayPoint82,0.15192743764172337,0.08976242321932582,True
36,WayPoint32_WayPoint39,98,WayPoint32,WayPoint39,0.5338589981447124,1.6475917630209835e-08,False
37,WayPoint46_WayPoint39,91,WayPoint46,WayPoint39,0.1763646189875698,0.027751953365834914,False
38,WayPoint94_WayPoint95,82,WayPoint94,WayPoint95,0.26193001060445387,0.13889015436018104,True
39,WayPoint89_WayPoint82,80,WayPoint89,WayPoint82,0.5428571428571428,3.8161272586378914e-07,False
40,WayPoint61_WayPoint54,80,WayPoint61,WayPoint54,,,False
41,WayPoint68_WayPoint61,80,WayPoint68,WayPoint61,0.8815217391304347,1.087028471687538e-34,False
42,WayPoint108_WayPoint107,72,WayPoint108,WayPoint107,0.4257907542579075,3.1950103673850094e-08,False
43,WayPoint106_WayPoint107,69,WayPoint106,WayPoint107,,,False
44,WayPoint61_WayPoint68,69,WayPoint61,WayPoint68,0.8815217391304347,1.087028471687538e-34,False
45,WayPoint81_WayPoint88,68,WayPoint81,WayPoint88,0.1932404540763674,0.16739981680951754,True
46,WayPoint88_WayPoint95,61,WayPoint88,WayPoint95,0.17439231204070096,0.15222212209871722,True
47,WayPoint48_WayPoint49,60,WayPoint48,WayPoint49,,,False
48,WayPoint54_WayPoint47,60,WayPoint54,WayPoint47,,,False
49,WayPoint49_WayPoint50,60,WayPoint49,WayPoint50,,,False
50,WayPoint51_WayPoint52,60,WayPoint51,WayPoint52,,,False
51,WayPoint47_WayPoint48,60,WayPoint47,WayPoint48,,,False
52,WayPoint50_WayPoint51,60,WayPoint50,WayPoint51,,,False
53,WayPoint52_WayPoint53,60,WayPoint52,WayPoint53,,,False
54,WayPoint113_WayPoint89,59,WayPoint113,WayPoint89,,,False
55,WayPoint114_WayPoint96,59,WayPoint114,WayPoint96,,,False
56,WayPoint88_WayPoint81,57,WayPoint88,WayPoint81,0.1932404540763674,0.16739981680951754,True
