,edge_id
WayPoint21_WayPoint22,14
WayPoint99_WayPoint98,14
WayPoint56_WayPoint55,14
WayPoint43_WayPoint44,14
WayPoint3_WayPoint4,14
WayPoint64_WayPoint65,13
WayPoint42_WayPoint41,13
WayPoint86_WayPoint85,13
WayPoint70_WayPoint69,13
WayPoint24_WayPoint23,13
WayPoint27_WayPoint28,13
WayPoint105_WayPoint104,13
WayPoint5_WayPoint4,13
WayPoint84_WayPoint85,13
WayPoint106_WayPoint107,13
WayPoint85_WayPoint86,13
WayPoint4_WayPoint5,13
WayPoint38_WayPoint37,13
WayPoint43_WayPoint42,12
WayPoint17_WayPoint18,12
WayPoint35_WayPoint34,12
WayPoint4_WayPoint3,12
WayPoint23_WayPoint22,12
WayPoint30_WayPoint31,12
WayPoint106_WayPoint105,12
WayPoint9_WayPoint8,11
WayPoint108_WayPoint107,11
WayPoint64_WayPoint63,11
WayPoint36_WayPoint37,11
WayPoint71_WayPoint70,10
WayPoint85_WayPoint84,10
WayPoint63_WayPoint62,10
WayPoint21_WayPoint20,10
WayPoint22_WayPoint21,10
WayPoint84_WayPoint83,10
WayPoint29_WayPoint30,9
WayPoint72_WayPoint71,9
WayPoint3_WayPoint2,9
WayPoint65_WayPoint64,9
WayPoint107_WayPoint106,9
WayPoint28_WayPoint29,9
WayPoint10_WayPoint11,8
WayPoint29_WayPoint28,8
WayPoint36_WayPoint35,8
WayPoint44_WayPoint43,8
WayPoint11_WayPoint10,8
WayPoint9_WayPoint10,7
WayPoint16_WayPoint15,7
WayPoint45_WayPoint44,7
WayPoint37_WayPoint36,7
WayPoint10_WayPoint9,6
WayPoint17_WayPoint16,5
