,edge_id
WayPoint35_Frisoer,602
WayPoint86_WayPoint90,600
Frisoer_WayPoint35,589
WayPoint86_WayPoint91,574
WayPoint90_WayPoint35,568
WayPoint87_WayPoint89,538
WayPoint89_WayPoint87,535
WayPoint35_WayPoint90,528
WayPoint90_WayPoint81,527
WayPoint91_WayPoint87,521
WayPoint81_WayPoint86,506
WayPoint87_WayPoint91,505
WayPoint4_WayPoint89,493
WayPoint26_Cafeteria,491
Cafeteria_WayPoint26,488
WayPoint91_WayPoint86,465
Frisoer_WayPoint26,457
WayPoint26_Frisoer,446
Lift2_WayPoint111,428
WayPoint111_Lift2,424
WayPoint50_Lift2,424
Lift2_WayPoint50,422
WayPoint50_WayPoint49,420
WayPoint49_WayPoint50,418
WayPoint49_Cafeteria,415
Cafeteria_WayPoint49,397
Station_ChargingPoint,374
ChargingPoint_Station,373
WayPoint88_Kindergarten,346
Kindergarten_WayPoint88,344
WayPoint91_Station,329
WayPoint88_WayPoint68,318
WayPoint89_WayPoint4,307
WayPoint68_WayPoint88,295
WayPoint7_WayPoint111,244
WayPoint111_WayPoint7,243
Station_WayPoint91,226
WayPoint7_WayPoint12,211
WayPoint12_WayPoint7,209
WayPoint8_WayPoint91,205
Station_WayPoint2,165
WayPoint2_WayPoint86,145
WayPoint91_WayPoint8,128
WayPoint89_WayPoint15,111
WayPoint47_WayPoint43,106
WayPoint59_WayPoint43,103
WayPoint57_WayPoint47,103
WayPoint47_WayPoint57,102
WayPoint65_WayPoint13,95
WayPoint58_WayPoint32,95
WayPoint80_WayPoint64,95
WayPoint64_WayPoint11,95
WayPoint20_WayPoint65,95
WayPoint11_WayPoint20,95
WayPoint65_WayPoint20,93
WayPoint15_WayPoint4,93
WayPoint13_WayPoint65,93
WayPoint64_WayPoint80,91
WayPoint32_WayPoint59,90
WayPoint11_WayPoint64,90
WayPoint43_WayPoint47,90
WayPoint20_WayPoint11,90
Lift1_WayPoint58,89
WayPoint32_WayPoint58,83
WayPoint59_WayPoint32,77
WayPoint58_Lift1,76
WayPoint43_WayPoint59,74
Teekueche_WayPoint34,67
WayPoint34_Lift1,66
WayPoint90_WayPoint86,62
WayPoint66_WayPoint51,61
WayPoint53_WayPoint48,59
WayPoint34_Teekueche,59
WayPoint4_WayPoint80,55
WayPoint51_WayPoint14,53
WayPoint88_WayPoint13,50
Lift1_Teekueche,50
WayPoint19_WayPoint7,45
WayPoint85_WayPoint28,45
WayPoint13_WayPoint88,45
Teekueche_Lift1,45
WayPoint21_WayPoint19,45
WayPoint82_WayPoint45,45
WayPoint28_WayPoint21,44
WayPoint83_WayPoint47,43
WayPoint80_WayPoint4,43
WayPoint68_WayPoint13,43
WayPoint55_WayPoint56,43
WayPoint54_WayPoint55,43
WayPoint45_WayPoint54,43
WayPoint26_WayPoint90,42
WayPoint53_WayPoint82,42
WayPoint48_WayPoint53,40
WayPoint86_Rezeption,38
WayPoint7_WayPoint66,38
Lift1_WayPoint34,37
WayPoint76_Lift1,37
WayPoint17_WayPoint90,37
WayPoint90_WayPoint26,36
WayPoint2_Station,35
Rezeption_WayPoint86,34
Rezeption_WayPoint91,33
WayPoint89_WayPoint80,33
WayPoint39_Seminarraum,32
WayPoint2_WayPoint91,31
WayPoint48_WayPoint34,31
WayPoint51_WayPoint66,31
Konferenzraum_WayPoint63,31
WayPoint43_WayPoint60,30
WayPoint63_WayPoint39,30
WayPoint14_WayPoint51,30
WayPoint62_Konferenzraum,30
Lift1_WayPoint76,30
WayPoint45_WayPoint82,29
WayPoint61_WayPoint62,29
WayPoint56_WayPoint55,27
WayPoint54_WayPoint45,27
WayPoint55_WayPoint54,27
WayPoint76_WayPoint14,26
WayPoint83_WayPoint56,26
WayPoint47_WayPoint83,26
Ambulanz_WayPoint4,25
WayPoint14_WayPoint76,25
WayPoint91_Rezeption,25
WayPoint82_WayPoint53,25
WayPoint17_WayPoint26,24
WayPoint12_WayPoint66,24
WayPoint2_Eingang,23
WayPoint13_WayPoint68,23
WayPoint66_WayPoint12,21
WayPoint89_Lift3,20
Eingang_WayPoint90,20
WayPoint15_WayPoint67,20
WayPoint67_Ambulanz,20
Lift3_WayPoint4,19
WayPoint28_WayPoint85,17
WayPoint90_Eingang,17
Eingang_WayPoint2,16
WayPoint19_WayPoint21,16
WayPoint7_WayPoint19,16
WayPoint21_WayPoint28,15
WayPoint87_WayPoint8,15
WayPoint4_WayPoint15,14
WayPoint86_WayPoint2,14
WayPoint56_WayPoint83,12
WayPoint15_WayPoint89,12
WayPoint85_Feuerloescher,12
WayPoint66_WayPoint7,12
WayPoint26_WayPoint17,12
WayPoint80_WayPoint89,11
WayPoint90_WayPoint17,11
WayPoint8_WayPoint87,10
WayPoint34_WayPoint48,10
Feuerloescher_WayPoint85,10
Lift3_WayPoint80,8
WayPoint4_Lift3,7
WayPoint80_Lift3,7
Kapelle_WayPoint76,7
WayPoint91_WayPoint2,6
Lift3_WayPoint89,6
WayPoint61_WayPoint84,5
WayPoint39_WayPoint63,5
WayPoint14_Kapelle,5
Konferenzraum_WayPoint62,5
Seminarraum_WayPoint85,5
WayPoint82_WayPoint32,5
WayPoint84_WayPoint60,5
Seminarraum_WayPoint39,5
Kapelle_WayPoint14,5
WayPoint63_Konferenzraum,5
WayPoint60_WayPoint43,5
WayPoint62_WayPoint61,4
WayPoint85_Seminarraum,4
WayPoint17_Frisoer,3
WayPoint81_WayPoint90,3
WayPoint32_WayPoint82,3
WayPoint76_Kapelle,3
Frisoer_WayPoint17,2
WayPoint86_WayPoint81,2
WayPoint3_Ambulanz,1
Feuerloescher_Seminarraum,1
WayPoint35_WayPoint17,1
Ambulanz_WayPoint67,1
WayPoint67_WayPoint15,1
WayPoint17_WayPoint35,1
Eingang_WayPoint86,1
WayPoint86_Eingang,1
